order_within_stratum,sample,PC1,PC2,cluster,Tannin,Phenol,Flavonoid,Antioxidant
1,TSs155,-21.184547551196808,-13.38643735484121,0,864.012320443296,142.67603038409,179.590054803224,247.751741701418
2,TSs365,-23.04332723317322,-3.58936308607326,0,413.017743873986,124.615855243755,164.491123414755,236.239043457812
3,TSs156A,-29.08213511845353,-0.7434278802604793,0,673.027286238732,227.193040482138,87.0933996609076,129.392142398117
4,TSs133,-26.712471169988387,-1.4682454060540016,0,350.181189808862,211.66843466716,124.482152977083,218.153587437576
5,TSs282,0.4699304377294496,32.279438623757976,1,660.284995971696,145.065018503903,90.9043818134728,334.345418483785
6,TSs38,7.962296156966782,-21.286025346145493,1,400.575314949455,240.247728703088,172.840181782463,293.755628783359
7,TSs166,7.494692288197994,-6.206677312058909,1,661.818696549931,140.081494406918,112.405700572529,253.780425576748
8,TSs297,-0.2166796977315339,6.581511252391941,1,485.26170921871,555.534957627117,193.029675638371,402.584292348072
9,TSs168,-1.7968394421232885,-3.1633817728168574,1,491.780246219773,115.190952605561,108.407802391138,143.130312354818
10,TSs116,2.0654056551451694,-4.503280538910295,1,568.449014225758,152.274167480188,89.9363188067058,439.132059185865
11,TSs78,7.883405216228887,-15.717671148676622,1,695.466383626912,139.253993829126,100.126791399912,225.964245136732
12,TSs24,9.04809653438234,-0.0101999358929318,1,708.902476595967,79.5223089316254,85.8761231501137,97.658671872829
13,TSs10,-6.054723391999105,-3.0503484988599925,1,274.766637606925,339.57097457627,139.133885438233,254.070146818923
14,TSs157A,7.958375504928719,10.253564804181403,1,329.972674531224,365.465608641324,87.0501306743437,282.680516222871
15,TSs303,9.523443443848189,0.0316070917061247,1,843.146276252702,159.870637257378,120.285901551985,242.711574645193
16,TSs217,9.496957945962595,-20.600544919697743,1,650.649677652133,204.223149250866,129.634790939371,521.612935220157
17,TSs22A,3.505341997819826,11.762373522167358,1,367.109111440282,326.175808098876,173.770799494423,387.768804477413
18,TSs277,-7.200906072821332,2.9564044470987474,1,870.136225602217,172.432200381262,121.666613424945,264.130798619124
19,TSs371,10.032509241940774,-14.989572368137322,1,754.696894597476,148.631389909466,126.675629028688,268.389045475978
20,TSs49A,-4.276195257419161,2.4057156620373075,1,341.331811217012,616.190803172839,145.407593146018,362.173006559779
