,raw_Rogers,UPGMA,IQ-TREE,RAxML
raw_Rogers,1.0,0.8416550866652074,0.9103404158135773,0.9096133353961638
UPGMA,0.8416550866652074,1.0,0.8094721631729878,0.8100267236986464
IQ-TREE,0.9103404158135773,0.8094721631729878,1.0,0.9968143587773923
RAxML,0.9096133353961638,0.8100267236986464,0.9968143587773923,1.0
