source,df,SS,MS,variance_component,pct_variance,F_ratio,p_perm_F,Phi_ST,p_perm_Phi_ST
Among groups,1,4259.450850277586,4259.450850277586,194.25548881129234,28.78175125425036,8.861479511306467,0.001,0.2878175125425036,0.001
Within groups,93,44702.34666461621,480.67039424318506,480.67039424318506,71.21824874574965,,,,
Total,94,48961.7975148938,,674.9258830544774,100.0,,,,
