chrom,n_ayb_anchored,n_cowpea_anchored,pct_cowpea_of_ayb
Ss01,287,33,11.498257839721255
Ss02,241,36,14.937759336099585
Ss03,401,55,13.71571072319202
Ss04,361,40,11.0803324099723
Ss05,210,23,10.952380952380953
Ss06,243,36,14.814814814814815
Ss07,149,9,6.040268456375839
Ss08,292,40,13.698630136986301
Ss09,266,42,15.789473684210526
Ss10,228,34,14.912280701754385
Ss11,184,17,9.23913043478261
TOTAL,2862,382,13.347309573724669
