trait,model,h2_REML,sigma2_total,lambda_GC,min_p,n_hits_FDR_0.10,n_hits_FDR_0.05,n_hits_Bonf_0.05
Tannin,M1_K,0.0001660937399596257,44375.984221080245,0.7989132249129466,0.0006678289498348816,0,0,0
Tannin,M2_KQ,0.0001660937399596257,45735.02003981759,0.914194917845558,0.0006914806953096042,0,0,0
Phenol,M1_K,0.0001660937399596257,16701.20337390708,0.9782038210807709,0.0004202124965925364,0,0,0
Phenol,M2_KQ,0.0001660937399596257,16924.136549721847,0.990598868171914,0.000549750101659362,0,0,0
Flavonoid,M1_K,0.0001660937399596257,1575.4691414284339,0.9763916693783703,0.0021809566706399272,0,0,0
Flavonoid,M2_KQ,0.0001660937399596257,1619.6076709736249,1.0031181247386152,0.0025151704426890947,0,0,0
Antioxidant,M1_K,0.412027379584441,9017.994487201877,1.0205649517351236,0.00027240127759785694,0,0,0
Antioxidant,M2_KQ,0.5691756556558335,9578.859962501683,0.9979742046515634,0.00015879745660949071,0,0,0
