probIn varB
0.02734914 0.01185519
0.01558025 0.0119924
0.01511327 0.01046076
0.005470446 0.01200637
0.001716369 0.01079276
0.008432786 0.01320245
0.006858964 0.01405292
0.01249389 0.01495607
0.007282219 0.01294588
0.008677241 0.01178203
0.002109192 0.01115655
0.004236377 0.01109028
0.002382694 0.01002286
0.004500404 0.009085726
0.003924115 0.01095495
0.003916603 0.01041045
0.003947852 0.007625056
0.002068462 0.007565799
0.002990293 0.006541191
0.009131218 0.006146854
0.01352574 0.006164703
0.02209386 0.004893136
0.0217447 0.003748973
0.02412877 0.003921189
0.03248325 0.003257814
0.02910529 0.003890066
0.03543288 0.004316471
0.01866875 0.0051029
0.01664624 0.004772284
0.01041974 0.005230174
0.0102632 0.005196964
0.001693078 0.004594068
0.00912738 0.00409172
0.006074232 0.003651192
0.005661265 0.003698638
0.005475379 0.003547952
0.01353901 0.003347808
0.01378952 0.003383017
0.01408146 0.00348615
0.01853364 0.0038625
0.01458024 0.004204835
0.03425386 0.005097219
0.03998394 0.00522657
0.02854934 0.004833901
0.01580762 0.005617087
0.009906244 0.004732158
0.005266852 0.004263221
0.01337464 0.003691946
0.03724415 0.004071771
0.0184374 0.003923951
0.01267529 0.004689556
0.003761124 0.005949697
0.01465315 0.006046406
0.006440441 0.006185893
0.006955124 0.006726942
0.004105343 0.007301691
0.01117199 0.007403046
0.01550076 0.006618984
0.008436187 0.007350464
0.009442376 0.007639003
0.00245502 0.007306764
0.00628259 0.0087781
0.002490845 0.008784319
0.000523675 0.009205236
0.003595919 0.009728719
0.008945789 0.009759672
0.003666777 0.009927943
0.0005672341 0.008961585
0.01035441 0.008229424
0.01076128 0.007935884
0.01580813 0.007737019
0.01126081 0.006876187
0.02544037 0.00632071
0.02597597 0.005788044
0.02422504 0.005215791
0.01999059 0.005054669
0.01064869 0.004891616
0.005690344 0.004675755
0.01133269 0.005053393
0.01561265 0.005879592
0.0124703 0.006174394
0.01674602 0.006258674
0.017751 0.005807632
0.01572535 0.00567399
0.01823209 0.005049005
0.01600658 0.005081752
0.01242863 0.005207568
0.01878154 0.005123881
0.008501917 0.004605052
0.005274969 0.004876534
0.001431876 0.004930929
0.002950857 0.004826197
0.01363551 0.005050395
0.01027944 0.005397713
0.005892178 0.004677771
0.01199746 0.005873515
0.01779963 0.006523791
0.0211332 0.006889771
0.01026776 0.007342231
0.01359036 0.006627279
0.01469759 0.005911422
0.004039684 0.006702364
0.004007382 0.007058946
0.01343475 0.007617331
0.02142275 0.006943168
0.01734884 0.006411264
0.04762024 0.004980731
0.03755062 0.00481207
0.02565022 0.004885363
0.02216798 0.005250643
0.01123912 0.005570724
0.006918337 0.005387462
0.004201621 0.005127893
0.00117187 0.004368998
0.001926158 0.004152824
0.001192097 0.00397896
0.0008364978 0.003874042
0.00513895 0.003979719
0.004094987 0.003685077
0.007839573 0.004106313
0.02999986 0.003852343
0.02245377 0.0034633
0.03642135 0.003025645
0.03093444 0.003139216
0.02387164 0.003097038
0.05285917 0.00371282
0.06331292 0.00338162
0.0553927 0.003228564
0.05049635 0.003172457
0.02798927 0.003334296
0.0189118 0.003322081
0.02828346 0.003247065
0.03749 0.002542722
0.05658747 0.002767672
0.05721435 0.00321317
0.02763658 0.003065706
0.02605227 0.002716965
0.01498089 0.002612243
0.01699692 0.002721723
0.01497367 0.002695682
0.004194484 0.002738587
0.007322537 0.003026035
0.01388812 0.003456786
0.01134957 0.004430558
0.01132253 0.00374644
0.002934967 0.003812159
0.008925968 0.00356125
0.009700781 0.003318305
0.02733306 0.00323904
0.03129535 0.003451473
0.02828972 0.003054491
0.01606874 0.003391479
0.02870854 0.003663753
0.02248204 0.003516864
0.02977989 0.003785857
0.04524205 0.003439352
0.03617851 0.004082249
0.02666756 0.005053291
0.02703604 0.004220071
0.0271649 0.003847354
0.01631616 0.003628627
0.00643957 0.004096044
0.004512683 0.004514095
0.006321964 0.004488351
0.005035389 0.004149606
0.009750497 0.003748504
0.007418692 0.003904168
0.01769697 0.004307156
0.01432225 0.004439598
0.01208392 0.005162756
0.007782952 0.005472403
0.005461397 0.005176816
0.02034042 0.004976409
0.0159493 0.004486898
0.01067571 0.004364914
0.01089508 0.004812004
0.01884926 0.004580995
0.04879021 0.004489394
0.035415 0.004340383
0.01955241 0.004707808
0.02633102 0.004843651
0.01581067 0.005593768
0.01683755 0.005694636
0.009490847 0.005417013
0.007238652 0.005584671
0.007296083 0.00606035
0.009138033 0.005787075
0.01854629 0.006774438
0.009885749 0.006373046
0.01827635 0.005621645
0.0255232 0.006200159
0.01671658 0.006722553
0.002655195 0.005803162
0.01685083 0.006811815
0.01732368 0.007489528
0.01426993 0.008814807
0.01124732 0.008510247
0.006985081 0.008166852
0.01339945 0.008307174
0.005520568 0.007275286
0.005374925 0.006943637
0.004580593 0.006583796
0.007180658 0.006296613
0.005680542 0.006269727
0.009489636 0.007241268
0.025163 0.006307579
0.04823603 0.005296141
0.0348088 0.005787784
0.01716201 0.006179813
0.009754722 0.006192945
0.008888163 0.006198704
0.004556155 0.005230319
0.003299669 0.006361342
0.01541293 0.006913333
0.01183299 0.005732075
0.006414034 0.005352096
0.002853742 0.005184593
0.003901111 0.005301343
0.003724566 0.005464785
0.006620601 0.004731012
0.004653885 0.003953
0.004790526 0.003573318
0.01790655 0.003079559
0.03318983 0.002812244
0.01953488 0.002362027
0.03760245 0.002413517
0.02645096 0.002179918
