,PC1,PC2,PC3,PC4,PC5
Tannin,0.06123934061927738,0.29856988154071773,-0.6522744101838673,0.10395425882428927,0.3801350203249056
Phenol,-0.12941934032352514,0.14325913388027778,0.7038045029415041,0.14863596651565042,0.3287759248600281
Flavonoid,-0.15343534538922593,0.533955566925168,-0.08522755606702148,-0.41432559635593885,-0.41368201286713696
Antioxidant,-0.2641504995445715,0.48950999053982625,0.02795579163085457,-0.028663852099645212,0.5627918757094978
Seed_Length,0.364454336778538,0.323120427450059,0.22471523781143227,-0.40898883605750325,0.00970297044539739
Seed_Width,0.5046993079956132,0.10402013651103731,0.021842451973221697,0.01648785712466734,-0.1152778942966104
Seed_Thickness,0.44976841027025977,0.06605443825456676,-0.0367061426367461,0.4812163019769925,0.1311713343538918
Mass_of_Seeds,0.5160356079868942,0.17785638221735087,0.1182172942811983,-0.049003429435971094,0.03365571566398283
Seed_Coat_Tannin,-0.173348663712783,0.46301316089729244,0.06968035930157662,0.6269763651687539,-0.47729915956204705
