sample,PC1,PC2,PC3,PC4,PC5,marker_cluster
TSs10,2.116479680350243,0.09091362921272123,1.8298178175096744,-0.6048380048288073,0.08875740365898102,2
TSs104,1.8404934104756825,-0.030367996517329163,-0.6402887298264969,-0.32710193586124026,-0.3079679199057525,2
TSs10A,-0.47909975779058617,0.48491524995992347,-0.35108006781117473,-0.13359037874219437,0.304242603962419,2
TSs11,-0.9038497417803538,-3.9754710857487683,0.38535752570393544,1.596044590380118,-0.7389330182567745,2
TSs111,-1.9700515555172122,-1.1164939877503688,-1.2387845554352317,0.6393163413870994,1.0906385589826308,1
TSs116,-2.256646398069312,0.0007619486453759833,-0.3801741413846768,0.33481587080772846,0.8995682798701238,2
TSs119A,-0.09837250387818447,1.2938410373850247,-0.08346274384273154,0.9594660267573341,-1.3617490930142415,2
TSs120,1.2273607231285166,0.35737218940573123,1.2538976445099128,-0.6933273766463088,-0.5420691737933337,2
TSs131,0.2276165268812782,0.582325075625916,0.2018765407937801,0.405276470460656,1.1392700258764554,2
TSs132,1.9318802030572786,-2.060879471054191,-0.2457137501575242,0.3560902374638057,-0.5748804949240452,2
TSs133,1.4142835763795865,-0.5475789723884439,0.6585131532680992,0.25682749682705963,-0.41226656167182046,1
TSs136,0.9570332100810032,-1.3800204866987118,-0.6730768814028492,0.006171440669792847,-0.7047108400597318,2
TSs138,-2.5218429891734724,0.35963988756991716,-1.5892391146469564,-0.9049821948361187,-0.10901668544635931,0
TSs138B,-1.6991958155130948,0.31105517544641087,-1.4303769404744517,1.2496969606072403,1.2218762582004996,1
TSs15,0.9788987319790342,1.6402227312709823,-0.7524293648461847,0.36991836220701474,-0.11783133597513992,2
TSs155,-3.6526686121916727,-0.2845319047619373,-2.045399027879111,-0.07659441370431726,-0.4199601295557337,1
TSs156A,1.0126393835565717,-1.1112155854264605,-0.5886052852409575,2.4265496397200645,-0.5070642805624055,1
TSs157A,-0.9301643450815861,-0.7015766624523994,1.562706658539376,0.6765600025387967,0.3720369908733065,2
TSs158,3.6505947492878046,1.169029015027258,-0.1855143375323098,0.24541864225409138,-0.1762055919263031,2
TSs161,-0.09524339237141415,0.7887008522935279,-1.577366611527463,-0.2460005594531975,-0.06291273151965393,2
TSs166,1.2038107628284245,-0.04095433101560641,-0.653575888344392,0.8950634700981001,0.2734371031060917,2
TSs168,1.6963963499078392,-0.9524906191928892,-0.22293335181509963,0.1946339543944301,-0.8264356656213215,2
TSs182,1.078846709924692,-4.709962773660008,1.1323864255469787,0.2671415063307589,-0.2588867381373246,0
TSs195,0.6236581711178814,1.3397977604458429,-1.7366255241955812,1.62662936325897,0.04843830439438249,2
TSs1A,-1.312960344418421,1.3184797314283663,0.2434811395705922,-0.16482827538839573,-0.30407375185972896,2
TSs2,-0.8536350568918658,0.06942865402643567,-0.2918002568430499,0.4174490045479263,0.8770528365479178,2
TSs201,-1.570527742834645,1.5906754422262919,0.10341887226655921,-1.6552614525485203,-1.1119617791483398,2
TSs209,-0.6986751156610512,-4.394616000503016,0.39834369433246103,-0.6311769526236152,0.42353399327085256,2
TSs217,-4.189467516637522,1.015110313318916,-0.6500763652631372,0.766186741508358,0.7004143934110763,2
TSs22,1.4740842273354589,-0.8768950695896987,0.6080019670802548,-0.8741080093082798,-0.8408706679095984,0
TSs224,1.0492225906531112,-0.16105632452263632,0.12779849873415644,-0.3758379626327502,-0.5383575106566515,2
TSs22A,-3.461419814138968,0.23504542995458647,0.9425540002548313,-1.3904737386463069,0.21484134899128757,2
TSs22B,-0.677682425936497,0.5474481727246758,-0.9322065857128812,-0.4107524271394677,0.10219253978140559,2
TSs23,0.8060483053112881,0.5326008759997801,-0.971541559981352,-0.39016925937506547,-0.7310429433195227,2
TSs24,1.4060596663387726,-1.3421347271342163,-1.0735581018711298,0.35457039826049874,-0.5221790562562464,2
TSs266,0.6843436682775024,1.7797441236921785,-0.39025508937981584,-0.7306957058850265,-0.44239703684381265,2
TSs269,0.35410992110307166,-1.8078591534564785,-0.7718237525513925,0.08859062704605512,-0.38684631911054274,2
TSs27,2.0132792948619573,1.7239703753749744,-1.0688973616144115,-0.7132955787124854,1.1428518553439984,2
TSs274,3.2145372600172726,0.2578867448482515,-0.9903782262496418,-0.23081969062131258,-0.05638240275646713,2
TSs277,1.1470348080402024,0.7976601091446358,-0.9730446412441545,0.6044388908394137,0.23601312892336573,2
TSs282,-0.47175665949086315,-0.44255859700150707,-0.6720311231321308,0.16635557009283541,0.9318969310434847,2
TSs287,-1.131419592860418,-0.2517477601876114,2.06492540012148,-0.8769779718402421,0.573275530274189,2
TSs291,6.967698125800865,-1.1730742570885602,0.04070407612147987,-1.3577522456100877,0.384097730324968,2
TSs293,-2.2192431410202627,1.9076948868410077,-1.4073806534472684,-0.4066261526958926,-0.8632302757623723,2
TSs294,0.2883870971305181,-1.223332917112532,-1.0688161575001514,-0.08704673115953411,-0.23067094653302458,2
TSs296,-2.3382309721569112,-0.17160092421140521,-0.9772117206692766,1.1202152331265909,0.2907634917762778,2
TSs297,-1.9542855534648707,2.3970246770110633,2.268579989702355,-0.6148678053627075,0.19147736630845105,2
TSs3,-1.9762961770428074,0.9194399399296784,-1.3862235525757793,-0.3243698116112189,0.9582365310472593,2
TSs30,1.145835436126015,0.808440156266091,-1.7483012589886138,0.1876608030744516,2.738310453001361,2
TSs303,-2.291305504338568,-0.24252911383091252,-1.5709256518404073,1.5436756828699933,-0.2939156023937989,2
TSs311,1.746843077633757,1.0652823486466447,-0.4863659366754366,0.4309783647494264,-1.1894993666026672,2
TSs314A,-1.9794178660764625,0.5252864466897089,-0.2160612762207933,-1.5778157088391822,-1.4860319973932348,2
TSs314B,0.473723822136267,-1.396623641528327,-0.7856324569473798,-1.0154153085135087,-0.7933907868487676,2
TSs317,-0.38354508271589044,2.0472506580233327,-0.6472052105586946,-0.36541210931755636,-1.1493247581057655,2
TSs325,1.4527435023418585,-1.9406884035351142,0.1874063361712131,-1.4355580880345247,0.07349212060654667,2
TSs33,0.02326947133999884,-1.2543340469205202,1.7739894528338531,0.8578993526136326,1.0657728338243007,2
TSs331,0.9286786499098766,-1.3202531195684706,1.839758162118244,-1.1222276704079963,0.7505064753450298,2
TSs333,0.5496225950560323,-1.6728223858350562,-0.0009330396997113622,-0.7095560682243244,-0.04946840690054973,2
TSs334,-0.492809755453114,2.516767895439419,4.132730219514617,1.250473754296463,0.6253719958504559,2
TSs338,-1.2814056860329286,-0.9356253305123803,-0.9364536446802096,0.15799604197382192,-0.048453989461801746,2
TSs346,0.5439317543569441,1.3593098873498277,-1.044332325034559,-2.0346769753907505,0.5613166344716617,0
TSs349,-0.7772442682020062,-3.072069083638456,-1.2863368895823148,-0.16775510041635472,-0.23502521551320196,0
TSs357,1.8974633542344344,1.2748671198415218,0.5736862787224396,-0.43001930179485354,-0.9116592410940629,1
TSs358,0.9717527444805772,0.02632907208352944,1.451774925016622,0.8766415667297346,0.9809285670200083,1
TSs361,0.3418200603020603,0.7408243824808654,-0.05859665166408745,0.6463266231887189,-0.43978689782974606,1
TSs363,1.2679699767345565,-0.7886381344082999,-0.1336790261272074,0.5989901882150287,0.5676453789146796,1
TSs365,-1.4309503479134866,-0.7002893851749322,-0.6854062135600658,0.9515487077063436,-1.171269157789866,1
TSs368,-0.07733977152184926,1.7992174742929656,1.4257541649463794,0.2638106289022089,-0.7160529159405689,2
TSs371,2.6008305356172996,1.5311108348599982,-0.5168801465859437,1.4801519654070943,-0.1915127322481501,2
TSs377,-2.807255845334152,0.039190474095422194,0.15674202773996937,0.49172748698516805,-0.3001841126446108,0
TSs378,0.9804585816536409,-0.15755799141848903,-0.7123929967688172,1.6262073731382343,0.03840123042379027,2
TSs38,-1.2450894565374524,-0.09928614840597266,0.4218412357715705,-1.1188378545861173,-0.22888376795150486,2
TSs383,-1.0238391151373107,0.40200111231583885,-0.5610285941135092,0.8191491190477541,0.10902692932867417,2
TSs3A,-0.34983033458567797,-0.8599135815698993,-1.1577629022311675,-0.2598264896601861,0.42134763385477875,2
TSs4,0.0836951096757439,-1.7788640783588956,1.2565359473520812,1.0109787385952234,-0.5000865945554507,2
TSs417,3.794336721767298,0.7243160153418532,2.412549881638746,1.2451841753145059,-0.33424861121091237,2
TSs44C,-2.7898127236444257,-0.05231651828988899,0.6293388396439609,2.3294256291320004,-0.9022114414499912,2
TSs48,-1.8615621026236566,-0.026968880076006205,0.2031126504780138,0.22712252176922448,-0.47242278770445795,2
TSs49,-1.2675098294522467,0.015450290327263663,0.5842256012290166,-1.2395753240915817,-0.3243370250549552,2
TSs49A,-0.6539464762256614,0.5711267539127647,2.8732356939550345,-0.543711151112993,1.3419917526729215,2
TSs51,-0.3273745666283879,-0.3656199797124848,0.2040187005747852,-0.2148868141321088,0.23111849035494283,2
TSs53,1.108600463943074,2.540351045588683,-1.5127040104408478,-1.138598459583386,0.5719277237518379,2
TSs56,1.7344027556474666,1.181650660196141,-0.3423136374031819,-0.5394513039226414,-0.9472274480809222,2
TSs56A,-1.6350440108413118,1.133797384876098,0.14453401146004632,-1.2021262707754643,-0.8178407209677744,2
TSs58,0.7202314590517196,0.5068349524253958,0.7696666412542674,0.16729978304209825,-0.16272588019663115,2
TSs59B,0.7105809292855634,0.7040211799949054,-0.450572068340331,-0.3224929479467084,0.39292139450750446,2
TSs5A,0.622244228353967,0.5300720212719545,1.3941747901890622,0.8244731703075742,0.48848179096743205,2
TSs60,-2.719166497925892,0.7356650514493258,1.6721511799489817,-0.4550027587105115,0.16800163546465433,2
TSs60B,-3.807621333424534,-1.0307145608232755,0.5631336890943212,-0.24319420798412722,-0.0025484109570968715,2
TSs61,0.7003212555410757,0.4558828504091748,-0.7328208587242873,0.8700007494897792,1.0679488422168768,2
TSs63,0.7887487705748477,0.7590672329493942,-0.17292171038320367,1.1508492494165796,0.3480543188573156,0
TSs63A,-1.3551307785348776,0.895168353439689,1.4685108446157884,-0.31720977031182535,-0.6266902661007415,2
TSs68,1.590887472453572,-1.3971252833898176,0.576164758486066,-0.36991874848819334,0.47128003561809506,2
TSs69,-0.9647437494186338,1.640218474251314,3.72818830269675,0.63969999863514,-0.3853738337413081,0
TSs7,-0.31094269825806625,-1.0152211051972202,0.008214034099992808,-1.2962708180138178,0.6924112170108242,2
TSs78,3.2576627429959366,-0.1254469655132454,-0.3576689723237352,-0.4610445526367288,0.8047779909130806,2
TSs82,0.7455789983491723,0.14783988226902764,0.22953577905640735,-0.8538803176173808,-0.08141387883848561,2
TSs84,-2.356865483430215,-1.9507264788183325,-1.016239560855596,-1.8234425935852003,0.5807771875559057,0
TSs89,-0.5532716457901007,-0.8580184652362872,0.3222461335718784,0.1161732100433338,-1.2321468339559438,0
TSs9,-1.2873610202616668,-1.078987384572476,1.8781963064755387,-0.44796835001408064,1.453924134911661,2
TSs95,0.7115876672995055,-0.03975605771842967,-1.2926375988194283,-1.1796911906547924,0.6326730945385104,2
TSs96,0.3716636870912956,-0.3440267127005459,1.0187525288095975,-0.3951714351065971,-0.7968377680475663,2
TSs98,2.2628381964511486,3.0727184043308853,-1.2764684185528792,0.7143605988783156,0.2961503321545101,2
