group,trait,n,ST_mean_r,ST_sd_r,MT_mean_r,MT_sd_r,delta_r,delta_r_sd_across_reps,delta_r_boot_ci95_low,delta_r_boot_ci95_high,paired_t_p,verdict,MT_better
oxalate_triplet,Total_Oxalate,41,0.2138361868906787,0.07652466305318868,0.21383618689067865,0.07652466305318868,6.106226635438361e-18,6.96886072824291e-17,-0.03763807392462785,0.01671119065274198,0.5424809853413917,no detectable benefit,True
oxalate_triplet,Soluble_Oxalate,41,0.0801061520573437,0.07979345878101766,0.08010615205734367,0.07979345878101765,-4.3021142204224816e-18,7.93936827190019e-17,-0.1001075981665804,0.03651898801293159,0.7060967101142727,no detectable benefit,False
oxalate_triplet,Insoluble_Oxalate,41,0.23556506460136134,0.06742640442376688,0.23556506460136134,0.06742640442376688,0.0,0.0,-0.09498488308263345,0.020380143795057613,,no detectable benefit,False
protein_oxalate_full,Crude_Protein,40,-0.07037161421312801,0.07782014216120114,-0.07037161421312801,0.07782014216120117,-1.016547956922409e-17,8.616391587013651e-17,-0.05064102472823588,0.020529585591802433,0.41289293534842947,no detectable benefit,False
protein_oxalate_full,Total_Oxalate,40,0.21309252428495903,0.07426982471114017,0.21309252428495906,0.07426982471114016,-1.0408340855860842e-18,8.47632115257445e-17,-0.06601245792737177,0.010485963681011873,0.9318523047672626,no detectable benefit,False
protein_oxalate_full,Soluble_Oxalate,40,0.0024027771237525226,0.09537162126543619,0.002402777123752509,0.09537162126543618,-1.2212453270876722e-17,8.529546248611028e-17,-0.10766404274615916,0.02920630767805322,0.3211479125083451,no detectable benefit,False
protein_oxalate_full,Insoluble_Oxalate,40,0.23580239651696913,0.06177090264100655,0.23580239651696913,0.061770902641006535,-1.7208456881689926e-17,6.953090236433449e-17,-0.11770260714390117,0.0035719865079918292,0.0894833029806588,no detectable benefit,False
