cross_id,parent_A,parent_B,G_ij,scenario,U_aggregate,U_aggregate_z
TSs361_x_TSs49,TSs361,TSs49,-0.258089037816867,crude_protein_priority,28.150419214882863,0.6835598353041519
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,balanced,70.0536000234217,0.9452886671792957
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,soluble_oxalate_priority,70.0536000234217,0.9049659370793258
TSs49_x_TSs358,TSs49,TSs358,-0.2562557679830043,crude_protein_priority,70.0536000234217,0.9291422385324918
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,balanced,-28.889662868287985,0.3626151051366666
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,soluble_oxalate_priority,-28.889662868287985,0.33000219003123965
TSs156A_x_TSs217,TSs156A,TSs217,-0.2560563676916612,crude_protein_priority,-28.889662868287985,0.34926443891571424
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,balanced,75.8745136907127,0.9795678328520023
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,soluble_oxalate_priority,75.8745136907127,0.9387915279844089
TSs209_x_TSs282,TSs209,TSs282,-0.2552500529847202,crude_protein_priority,75.8745136907127,0.9632569271984824
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,balanced,-65.81815445462904,0.1451444547395338
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,soluble_oxalate_priority,-65.81815445462904,0.11540906590357937
TSs155_x_TSs303,TSs155,TSs303,-0.252465634607287,crude_protein_priority,-65.81815445462904,0.13283724803470295
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,balanced,-63.96121453615476,0.15607991173957997
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,soluble_oxalate_priority,-63.96121453615476,0.12619982721835096
TSs156A_x_TSs98,TSs156A,TSs98,-0.2516650444637434,crude_protein_priority,-63.96121453615476,0.14372023493522537
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,balanced,54.92644280522821,0.8562053448559707
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,soluble_oxalate_priority,54.92644280522821,0.8170613466892025
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,crude_protein_priority,54.92644280522821,0.8404863524642947
TSs151B_x_TSs217,TSs151B,TSs217,-0.2477452637025192,balanced,-462.136694718301,-2.188762158100881
TSs151B_x_TSs217,TSs151B,TSs217,-0.2477452637025192,soluble_oxalate_priority,-462.136694718301,-2.1876157816196313
TSs151B_x_TSs217,TSs151B,TSs217,-0.2477452637025192,crude_protein_priority,-462.136694718301,-2.189870901654661
TSs151B_x_TSs371,TSs151B,TSs371,-0.2470161792176894,balanced,-440.4862968158664,-2.061263689819532
TSs151B_x_TSs371,TSs151B,TSs371,-0.2470161792176894,soluble_oxalate_priority,-440.4862968158664,-2.0618043464672455
TSs151B_x_TSs371,TSs151B,TSs371,-0.2470161792176894,crude_protein_priority,-440.4862968158664,-2.062984191740596
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,balanced,8.558678322981384,0.5831471324499978
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,soluble_oxalate_priority,8.558678322981384,0.5476161835745182
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,crude_protein_priority,8.558678322981384,0.568738317729055
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,balanced,26.45392334619292,0.6885316311673326
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,soluble_oxalate_priority,26.45392334619292,0.651606256593946
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,crude_protein_priority,26.45392334619292,0.6736171644982419
TSs49_x_TSs151B,TSs49,TSs151B,-0.2463756147690667,balanced,-354.3430600914201,-1.5539690532655543
TSs49_x_TSs151B,TSs49,TSs151B,-0.2463756147690667,soluble_oxalate_priority,-354.3430600914201,-1.5612221266940187
TSs49_x_TSs151B,TSs49,TSs151B,-0.2463756147690667,crude_protein_priority,-354.3430600914201,-1.5581236372801008
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,balanced,-0.4916454751745884,0.5298500786538008
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,soluble_oxalate_priority,-0.4916454751745884,0.49502434527339595
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,crude_protein_priority,-0.4916454751745884,0.5156969918568943
TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,balanced,61.90126303457794,0.8972798276339458
TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,soluble_oxalate_priority,61.90126303457794,0.8575923404815018
TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,crude_protein_priority,61.90126303457794,0.881363753199952
TSs168_x_TSs282,TSs168,TSs282,-0.2436183579954028,balanced,9.383410101749169,0.5880039502789219
TSs168_x_TSs282,TSs168,TSs282,-0.2436183579954028,soluble_oxalate_priority,9.383410101749169,0.5524087370033347
TSs168_x_TSs282,TSs168,TSs282,-0.2436183579954028,crude_protein_priority,9.383410101749169,0.5735718317568804
TSs166_x_TSs358,TSs166,TSs358,-0.2434245278382019,balanced,-9.655688268029575,0.47588333750571504
TSs166_x_TSs358,TSs166,TSs358,-0.2434245278382019,soluble_oxalate_priority,10.862334968813352,0.5610028358668468
TSs166_x_TSs358,TSs166,TSs358,-0.2434245278382019,crude_protein_priority,-0.6610555306712911,0.5147041286002834
TSs361_x_TSs217,TSs361,TSs217,-0.2430098793507029,balanced,-15.794208960111575,0.43973379469912244
TSs361_x_TSs217,TSs361,TSs217,-0.2430098793507029,soluble_oxalate_priority,-15.794208960111575,0.4061004611846917
TSs361_x_TSs217,TSs361,TSs217,-0.2430098793507029,crude_protein_priority,-15.794208960111575,0.426013100475091
TSs151B_x_TSs96,TSs151B,TSs96,-0.2429380952441604,balanced,-375.13083472007776,-1.6763875619726714
TSs151B_x_TSs96,TSs151B,TSs96,-0.2429380952441604,soluble_oxalate_priority,-375.13083472007776,-1.6820208192372945
TSs151B_x_TSs96,TSs151B,TSs96,-0.2429380952441604,crude_protein_priority,-375.13083472007776,-1.679954762091384
TSs361_x_TSs96,TSs361,TSs96,-0.2428970852632459,balanced,12.511713372467227,0.6064264234885822
TSs361_x_TSs96,TSs361,TSs96,-0.2428970852632459,soluble_oxalate_priority,12.511713372467227,0.5705874478914467
TSs361_x_TSs96,TSs361,TSs96,-0.2428970852632459,crude_protein_priority,12.511713372467227,0.5919059109467224
TSs371_x_TSs358,TSs371,TSs358,-0.2425635105979938,balanced,-3.8307785615772674,0.5101860357192347
TSs371_x_TSs358,TSs371,TSs358,-0.2425635105979938,soluble_oxalate_priority,30.85013844573863,0.6771528600977199
TSs371_x_TSs358,TSs371,TSs358,-0.2425635105979938,crude_protein_priority,3.2096786981906766,0.5373893805510949
TSs155_x_TSs3A,TSs155,TSs3A,-0.2414629139606481,balanced,-46.34503977396367,0.25982097503446544
TSs155_x_TSs3A,TSs155,TSs3A,-0.2414629139606481,soluble_oxalate_priority,-46.34503977396367,0.22856821040992636
TSs155_x_TSs3A,TSs155,TSs3A,-0.2414629139606481,crude_protein_priority,-46.34503977396367,0.24696353175215194
TSs151B_x_TSs166,TSs151B,TSs166,-0.2410699588965277,balanced,-371.948132315026,-1.6576447340824811
TSs151B_x_TSs166,TSs151B,TSs166,-0.2410699588965277,soluble_oxalate_priority,-371.948132315026,-1.6635259925349415
TSs151B_x_TSs166,TSs151B,TSs166,-0.2410699588965277,crude_protein_priority,-371.948132315026,-1.6613018653348217
TSs49_x_TSs155,TSs49,TSs155,-0.2407892208111866,balanced,15.688768446807407,0.6251359944373134
TSs49_x_TSs155,TSs49,TSs155,-0.2407892208111866,soluble_oxalate_priority,15.688768446807407,0.5890494577012507
TSs49_x_TSs155,TSs49,TSs155,-0.2407892208111866,crude_protein_priority,15.688768446807407,0.6105257103340344
TSs363_x_TSs166,TSs363,TSs166,-0.2382124963524707,balanced,-30.78130116352122,0.3514753105577661
TSs363_x_TSs166,TSs363,TSs166,-0.2382124963524707,soluble_oxalate_priority,-19.36800893104751,0.3853329489515588
TSs363_x_TSs166,TSs363,TSs166,-0.2382124963524707,crude_protein_priority,-18.204026782547583,0.41188985635001196
TSs157A_x_TSs363,TSs157A,TSs363,-0.2374471553423415,balanced,50.112616026506394,0.8278568801476266
TSs157A_x_TSs363,TSs157A,TSs363,-0.2374471553423415,soluble_oxalate_priority,50.112616026506394,0.7890879829507986
TSs157A_x_TSs363,TSs157A,TSs363,-0.2374471553423415,crude_protein_priority,50.112616026506394,0.8122739082957952
TSs361_x_TSs371,TSs361,TSs371,-0.2369178331496221,balanced,-29.836653156237798,0.3570383110410099
TSs361_x_TSs371,TSs361,TSs371,-0.2369178331496221,soluble_oxalate_priority,2.9511039997987436,0.5150303171852477
TSs361_x_TSs371,TSs361,TSs371,-0.2369178331496221,crude_protein_priority,-17.970984917849506,0.41325564720600605
TSs151B_x_TSs78,TSs151B,TSs78,-0.2359352323878736,balanced,-297.76657926704917,-1.220792052160865
TSs151B_x_TSs78,TSs151B,TSs78,-0.2359352323878736,soluble_oxalate_priority,-297.76657926704917,-1.2324536541485263
TSs151B_x_TSs78,TSs151B,TSs78,-0.2359352323878736,crude_protein_priority,-297.76657926704917,-1.2265452735626665
TSs361_x_TSs3,TSs361,TSs3,-0.2358237175557076,balanced,-22.101355340496752,0.4025912208605632
TSs361_x_TSs3,TSs361,TSs3,-0.2358237175557076,soluble_oxalate_priority,2.108246145049109,0.5101324323143378
TSs361_x_TSs3,TSs361,TSs3,-0.2358237175557076,crude_protein_priority,-10.877044173811859,0.45483117876864093
TSs361_x_TSs166,TSs361,TSs166,-0.2354614157573243,balanced,-35.79453325636067,0.3219525546316934
TSs361_x_TSs166,TSs361,TSs166,-0.2354614157573243,soluble_oxalate_priority,-17.168425000745437,0.39811483001704767
