cross_id,parent_A,parent_B,G_ij,trait,mu,sigma,U,direction
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,Tannin,656.92535856783,171.44767880901622,-356.03468225800657,-1
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,Phenol,286.4013627763937,107.91265667819263,475.7880752466217,1
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,Flavonoid,96.13499124534836,33.00711458378938,154.06247733989872,1
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,Antioxidant,165.691777908316,77.82847263917361,302.2807473900657,1
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,Seed_Length,8.628499999999999,0.38185542404732564,,0
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,Seed_Width,6.8245000000000005,0.2718335515993918,,0
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,Seed_Thickness,6.661,0.30395344459857776,,0
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,Mass_of_Seeds,0.311,0.0341923924136667,0.37100764868598507,1
TSs24_x_TSs358,TSs24,TSs358,-0.3029267951595861,Seed_Coat_Tannin,738.3539568543911,128.75918638673897,-512.3815847456642,-1
TSs151B_x_TSs24,TSs151B,TSs24,-0.3027557115967696,Seed_Length,8.2075,0.38183035305663104,,0
TSs151B_x_TSs24,TSs151B,TSs24,-0.3027557115967696,Seed_Width,6.364,0.27181570417334144,,0
TSs151B_x_TSs24,TSs151B,TSs24,-0.3027557115967696,Seed_Thickness,6.1115,0.30393348831800343,,0
TSs151B_x_TSs24,TSs151B,TSs24,-0.3027557115967696,Mass_of_Seeds,0.2548,0.03419014748771294,0.3148037088409362,1
TSs151B_x_TSs24,TSs151B,TSs24,-0.3027557115967696,Seed_Coat_Tannin,934.7984564387972,128.75073261036064,-708.8409207076143,-1
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,Tannin,703.161062982479,171.37084929247095,-402.40522247419256,-1
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,Phenol,177.24902859092168,107.8642986175919,366.55087266479546,1
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,Flavonoid,117.19048312359035,32.99232336192132,175.09201062376226,1
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,Antioxidant,161.008312141943,77.79359597028042,297.5360730697852,1
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,Seed_Length,8.609,0.3816843061422974,,0
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,Seed_Width,6.807,0.2717117369414434,,0
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,Seed_Thickness,6.539,0.3038172363024783,,0
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,Mass_of_Seeds,0.3018,0.03417707004245166,0.36178075792450265,1
TSs361_x_TSs24,TSs361,TSs24,-0.3017593158770609,Seed_Coat_Tannin,851.400169991002,128.70148653271016,-625.5290611260957,-1
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,Tannin,770.2829628108466,171.36899474896973,-469.5303770264047,-1
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,Phenol,217.423192753798,107.8631313301866,406.72298823827543,1
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,Flavonoid,134.39537232452602,32.99196632512579,192.29627322512178,1
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,Antioxidant,233.53476352812496,77.79275410243396,370.0610469778966,1
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,Seed_Length,8.16,0.3816801756256291,,0
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,Seed_Width,6.4295,0.2717087965274931,,0
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,Seed_Thickness,6.3875,0.30381394844877707,,0
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,Mass_of_Seeds,0.26725,0.03417670018454759,0.327230108823881,1
TSs361_x_TSs303,TSs361,TSs303,-0.301731141234448,Seed_Coat_Tannin,1034.66589770733,128.7000937491275,-808.7972331776114,-1
TSs303_x_TSs358,TSs303,TSs358,-0.2976693871170167,Tannin,724.0472583961975,171.10142700025904,-423.76425401074295,-1
TSs303_x_TSs358,TSs303,TSs358,-0.2976693871170167,Phenol,326.57552693927,107.69471874621141,515.579758338871,1
