trait,n,mean,sd,median,skew,kurtosis,shapiro_W,shapiro_p
Tannin,105,558.7796556433357,213.185560425418,578.264790117291,0.21065501014117197,-0.6804657011909967,0.9629397131657081,0.00496434713342942
Phenol,105,210.4500248218811,134.01111242348415,159.870637257378,1.9076147704227664,3.812710812211485,0.7826523262489169,3.683978465545533e-11
Flavonoid,105,127.00830219580806,41.13064809248974,123.499801394815,0.04870610961008237,0.004188602520445617,0.9895293874310498,0.5921748888166285
Antioxidant,105,275.2843913278323,96.80439573791672,282.680516222871,-0.5034252936747771,0.30769762081542584,0.9755603675103925,0.04924267537330982
