,Tannin,Phenol,Flavonoid,Antioxidant
Tannin,1.0,-0.4127077963115684,0.2328572779083792,0.1698841140962706
Phenol,-0.4127077963115684,1.0,0.05552879324981986,0.2214287477584166
Flavonoid,0.2328572779083792,0.05552879324981986,1.0,0.4865720045579865
Antioxidant,0.1698841140962706,0.2214287477584166,0.4865720045579865,1.0
