trait,n_used,n_markers_subset,maf_floor_used,h2_REML,sigma2_total,h2_on_boundary,lambda_GC,min_p,n_hits_FDR_0.10,n_hits_FDR_0.05,n_hits_Bonf_0.05,detectable_r_80pct_power_Bonf
Seed_Length,95,1591,0.05,0.08975862068965518,0.17339012469279724,False,1.0973910941585734,0.000557923064936704,0,0,0,0.479053099809741
Seed_Width,95,1591,0.05,0.16,0.1001049219928116,False,1.176141947151588,0.003133337349034837,0,0,0,0.479053099809741
Seed_Thickness,95,1591,0.05,0.001,0.10704528610369748,True,1.0432049234196958,0.0003276441460964578,0,0,0,0.479053099809741
Mass_of_Seeds,95,1591,0.05,0.09317241379310345,0.001529485115883051,False,1.0466068836343287,0.0010930546935202657,0,0,0,0.479053099809741
Seed_Coat_Tannin,95,1591,0.05,0.44,52305.329732265156,False,1.1181494951517827,0.0019713245198862035,0,0,0,0.479053099809741
Crude_Protein,92,1585,0.05,0.29,27.916909665263017,False,0.9517371808788977,0.00048198669900182843,0,0,0,0.4856745184879763
Total_Oxalate,41,1161,0.1,0.001,47756.217342872165,True,1.0180035558375133,0.0038386468223299683,0,0,0,0.6640795797442193
Soluble_Oxalate,41,1161,0.1,0.999,9668.92033411294,True,1.021535006858519,0.006760364739879262,0,0,0,0.6640795797442193
Insoluble_Oxalate,41,1161,0.1,0.001,58108.40257847177,True,1.082639639162296,0.0071080106689041045,0,0,0,0.6640795797442193
