scenario,lambda,gain,inbreeding,n_active_accessions,converged
balanced,0.01,0.9305213446216325,0.8252726281312909,1,True
balanced,0.016237767391887217,0.9305213446216325,0.8252726281312909,1,True
balanced,0.026366508987303583,0.9305213446216325,0.8252726281312909,1,True
balanced,0.04281332398719394,0.9305213446216325,0.8252726281312909,1,True
balanced,0.06951927961775606,0.9305213446216325,0.8252726281312909,1,True
balanced,0.11288378916846889,0.9305213446216325,0.8252726281312909,1,True
balanced,0.18329807108324356,0.8986171875977603,0.6181736504257084,3,True
balanced,0.29763514416313175,0.8346942390797707,0.33863479791602047,5,True
balanced,0.4832930238571752,0.790663983308914,0.21911519669766072,5,True
balanced,0.7847599703514611,0.7498619647089695,0.15374157899010935,7,True
balanced,1.2742749857031335,0.7043158321336531,0.10822223232162623,9,True
balanced,2.06913808111479,0.6495040716196208,0.07423783338440873,11,True
balanced,3.359818286283781,0.5742011580608632,0.04576799035048966,19,True
balanced,5.455594781168514,0.49982989825128843,0.02842822026926398,25,True
balanced,8.858667904100823,0.4140531769414285,0.016030261239131895,39,True
balanced,14.38449888287663,0.3314270731603219,0.008565635716753162,53,True
balanced,23.357214690901213,0.259800402186815,0.0046026406379314445,66,True
balanced,37.92690190732246,0.190383980595791,0.002256698167278802,87,True
balanced,61.584821106602604,0.13003433999349062,0.0009806560214471504,91,True
balanced,100.0,0.08451213217772241,0.00038813007714868727,94,True
soluble_oxalate_priority,0.01,0.930521344621533,0.8252726281308017,1,True
soluble_oxalate_priority,0.016237767391887217,0.930521344621533,0.8252726281308017,1,True
soluble_oxalate_priority,0.026366508987303583,0.930521344621533,0.8252726281308017,1,True
soluble_oxalate_priority,0.04281332398719394,0.930521344621533,0.8252726281308017,1,True
soluble_oxalate_priority,0.06951927961775606,0.930521344621533,0.8252726281308017,1,True
soluble_oxalate_priority,0.11288378916846889,0.930521344621533,0.8252726281308017,1,True
soluble_oxalate_priority,0.18329807108324356,0.8986171875977637,0.6181736504257037,3,True
soluble_oxalate_priority,0.29763514416313175,0.8346942390800742,0.3386347979161069,5,True
soluble_oxalate_priority,0.4832930238571752,0.7906639833089358,0.21911519669766538,5,True
soluble_oxalate_priority,0.7847599703514611,0.7419478393708266,0.1398526428075597,8,True
soluble_oxalate_priority,1.2742749857031335,0.6931058045065963,0.09039285808251422,9,True
soluble_oxalate_priority,2.06913808111479,0.6597130647315597,0.06922108107390737,9,True
soluble_oxalate_priority,3.359818286283781,0.5988870056897115,0.04661759438873833,17,True
soluble_oxalate_priority,5.455594781168514,0.5124092785400536,0.02616843805380495,25,True
soluble_oxalate_priority,8.858667904100823,0.4393944224397843,0.015585472946440563,37,True
soluble_oxalate_priority,14.38449888287663,0.3616961579841156,0.008562707445855904,47,True
soluble_oxalate_priority,23.357214690901213,0.2934556902390357,0.004778669275323572,64,True
soluble_oxalate_priority,37.92690190732246,0.2248695332019747,0.0024479358726014282,79,True
soluble_oxalate_priority,61.584821106602604,0.1634193530723975,0.00115666803166593,88,True
soluble_oxalate_priority,100.0,0.11116434531446162,0.0004766171886015426,93,True
crude_protein_priority,0.01,2.0735501881605622,0.8252726281311569,1,True
crude_protein_priority,0.016237767391887217,2.0735501881605622,0.8252726281311569,1,True
crude_protein_priority,0.026366508987303583,2.0735501881605622,0.8252726281311569,1,True
crude_protein_priority,0.04281332398719394,2.0735501881605622,0.8252726281311569,1,True
crude_protein_priority,0.06951927961775606,2.0735501881605622,0.8252726281311569,1,True
crude_protein_priority,0.11288378916846889,2.0735501881605622,0.8252726281311569,1,True
crude_protein_priority,0.18329807108324356,2.0735501881605622,0.8252726281311569,1,True
crude_protein_priority,0.29763514416313175,2.0735501881605622,0.8252726281311569,1,True
crude_protein_priority,0.4832930238571752,2.0735501881605622,0.8252726281311569,1,True
crude_protein_priority,0.7847599703514611,2.0735501881605622,0.8252726281311569,1,True
crude_protein_priority,1.2742749857031335,1.7073866337638162,0.45935896780262314,4,True
crude_protein_priority,2.06913808111479,1.3223563361324973,0.21902235522158137,11,True
crude_protein_priority,3.359818286283781,1.033588466764658,0.10693153846209655,15,True
crude_protein_priority,5.455594781168514,0.8132598005523846,0.05482307296091404,24,True
crude_protein_priority,8.858667904100823,0.6168137299654533,0.025915910613118362,37,True
crude_protein_priority,14.38449888287663,0.4769645256523818,0.013232185012304623,45,True
crude_protein_priority,23.357214690901213,0.35737570427512055,0.006611562722771218,66,True
crude_protein_priority,37.92690190732246,0.25329507152759984,0.0030582296584074345,84,True
crude_protein_priority,61.584821106602604,0.17163782767765684,0.0013310176011340964,91,True
crude_protein_priority,100.0,0.1095990807987989,0.0005216015237234109,94,True
