scenario,lambda,sample,contribution
balanced,0.016237767391887217,TSs333,2.0497857267313502e-15
balanced,0.016237767391887217,TSs334,2.9189959123169912e-15
balanced,0.016237767391887217,TSs336,0.0
balanced,0.016237767391887217,TSs338,0.0
balanced,0.016237767391887217,TSs357,0.0
balanced,0.016237767391887217,TSs358,0.0
balanced,0.016237767391887217,TSs361,0.0
balanced,0.016237767391887217,TSs363,0.0
balanced,0.016237767391887217,TSs365,0.0
balanced,0.016237767391887217,TSs368,9.34602722082783e-16
balanced,0.016237767391887217,TSs371,0.0
balanced,0.016237767391887217,TSs378,0.0
balanced,0.016237767391887217,TSs38,9.002944975007327e-15
balanced,0.016237767391887217,TSs383,0.0
balanced,0.016237767391887217,TSs3A,0.0
balanced,0.016237767391887217,TSs4,5.425562735661849e-18
balanced,0.016237767391887217,TSs417,0.0
balanced,0.016237767391887217,TSs44C,0.0
balanced,0.016237767391887217,TSs48,0.0
balanced,0.016237767391887217,TSs49,8.742035026100814e-15
balanced,0.016237767391887217,TSs49A,0.0
balanced,0.016237767391887217,TSs51,1.0263698477777847e-15
balanced,0.016237767391887217,TSs53,1.2528835279889868e-15
balanced,0.016237767391887217,TSs56,0.0
balanced,0.016237767391887217,TSs56A,1.1344662433827617e-15
balanced,0.016237767391887217,TSs58,9.365275611837405e-16
balanced,0.016237767391887217,TSs59B,1.9991379154235023e-15
balanced,0.016237767391887217,TSs5A,0.0
balanced,0.016237767391887217,TSs60,0.0
balanced,0.016237767391887217,TSs60B,7.242349421709866e-16
balanced,0.016237767391887217,TSs61,0.0
balanced,0.016237767391887217,TSs63A,8.300950409844355e-16
balanced,0.016237767391887217,TSs68,9.172910941934528e-15
balanced,0.016237767391887217,TSs7,0.0
balanced,0.016237767391887217,TSs78,0.0
balanced,0.016237767391887217,TSs82,6.936801698396688e-16
balanced,0.016237767391887217,TSs9,1.3033621640256254e-15
balanced,0.016237767391887217,TSs95,0.0
balanced,0.016237767391887217,TSs96,8.26267748653357e-16
balanced,0.016237767391887217,TSs98,0.0
balanced,0.026366508987303583,TSs10,6.342278223525621e-16
balanced,0.026366508987303583,TSs104,0.0
balanced,0.026366508987303583,TSs10A,2.5010936091565297e-15
balanced,0.026366508987303583,TSs11,0.0
balanced,0.026366508987303583,TSs111,0.0
balanced,0.026366508987303583,TSs116,0.0
balanced,0.026366508987303583,TSs119A,7.417307031404144e-16
balanced,0.026366508987303583,TSs120,0.0
balanced,0.026366508987303583,TSs131,0.0
