PC,variance_explained,cumulative
PC1,0.08477704779207604,0.08477704779207604
PC2,0.05573641926540826,0.1405134670574843
PC3,0.0381602641850198,0.1786737312425041
PC4,0.03432396499178867,0.21299769623429277
PC5,0.02618798954098305,0.23918568577527582
PC6,0.025521521885260575,0.2647072076605364
PC7,0.022930464201771687,0.2876376718623081
PC8,0.022048765052062907,0.30968643691437103
PC9,0.020270120703875016,0.32995655761824605
PC10,0.019211794998591356,0.34916835261683743
