PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,sample,cluster,Tannin,Phenol,Flavonoid,Antioxidant
-29.08213511845353,-0.7434278802604793,1.0796570756923942,0.03719215390741502,-0.36822221293552515,3.640411296473165,-2.4298956334130155,-1.9252464722405833,1.1734668007297393,-3.3819960580028345,TSs156A,0,673.027286238732,227.193040482138,87.0933996609076,129.392142398117
-41.32091789163502,-3.1045586184101466,0.7730082323432289,-2.3413057952591694,3.2695101336948498,-4.970526609273512,-6.846346244236804,-3.3734752966801005,4.344319520974464,0.5098013774771514,TSs361,0,697.419649368991,274.975748250218,148.504843097067,224.357952411057
6.132221491449142,11.94933273968141,4.549730217652288,-9.886732226614543,-0.3155890938906234,-1.0972059590456196,0.3917344186145966,2.0998884551908477,4.6706569473013415,2.348147594317131,TSs368,1,376.423898803709,343.315475700742,181.132879223169,342.723974632529
7.6089390009646225,7.609456917811822,-15.96262594498133,15.651939370608838,7.9091731524313635,-3.804573937606016,-5.5504610206452165,-5.415311183967825,1.2522956634639475,0.3673220323528484,TSs49,1,402.279338036836,236.310690798753,157.038686779085,298.909487468502
-23.295827469543823,-3.6944235063165554,0.6023839086878793,-3.1744835867771837,-1.4359817192301243,0.4647951476694051,3.284007171204514,0.07899092734798452,-1.641380604488527,2.2426295175197266,TSs138B,0,858.978665615279,175.220126025799,111.539718004083,394.275470102886
-0.5578871153515826,16.18686300356652,-1.4475871004114225,13.206978178722636,-0.565866688190787,-7.372123239724865,-1.6056453856247594,-0.3446731282875787,-0.11136491177134845,-6.603108398009474,TSs22B,1,670.14163158999,139.740551753838,164.569163733639,340.914839953828
7.680326720669382,-0.07160256680029835,3.09546777798918,-4.612123113673556,-4.286788566507883,0.7790722039867474,-6.352491771447017,-5.43667246057457,-1.2492551956239342,-0.8136452710144793,TSs287,1,304.203020675397,431.757645209404,121.121036076449,319.662921774314
5.091711324299178,-9.728604738950182,6.463854473884742,1.5315629076104764,-5.415102831445714,15.904753065028986,-2.254423105730215,-0.6615922046901005,-2.5364780212702613,3.2317812636874876,TSs383,1,643.173272835716,160.386337133188,120.595699480762,329.030526523455
5.704603657211161,2.1369085093219558,-7.65358907092448,0.6557497542061865,-4.999885133871815,-5.4672753033301795,-6.581498985173198,-5.736065457036709,6.397527066520554,-9.721593327482994,TSs314A,1,415.113230076846,129.099404004117,198.878049198355,310.630510862144
7.398242674590476,-2.560823521298929,8.66311071267755,-3.0725134266328733,7.079619388158126,-4.500908652692789,2.812557841681029,4.423361817975288,1.0810154436304091,-4.150109974417582,TSs30,1,1089.26392780456,180.566653427742,104.398496667849,429.278054534194
8.01732285956197,-18.27945688739711,13.007545835042494,9.764585322050642,-6.545362756166843,8.04584747903869,-5.2400772471489585,-0.7785065029387894,-3.1497661559389996,-5.83092694245704,TSs291,1,668.354615906474,77.0327218393431,56.3631607843129,24.5133308595071
