sample,call_rate,observed_het
TSs156A,0.9697253433208489,0.009011908593498551
TSs361,0.9353932584269663,0.006339673006339673
TSs368,0.9603620474406991,0.216769580760481
TSs49,0.9637952559300874,0.16612694300518135
TSs138B,0.9756554307116105,0.10780550223928342
TSs22B,0.9865792759051186,0.20721290730781397
TSs287,0.9428838951310862,0.2919563058589871
TSs383,0.9491260923845194,0.22624136797106215
TSs314A,0.9266541822721598,0.23913775682047828
TSs30,0.954119850187266,0.281648675171737
TSs63,0.8935705368289638,0.08138316451274887
TSs291,0.9428838951310862,0.18338298576630255
TSs157A,0.934769038701623,0.03639398998330551
TSs27,0.9141697877652933,0.23796517582792762
TSs363,0.9060549313358303,0.009989665862900447
TSs9,0.9584893882646691,0.21654184304786714
TSs151B,0.9656679151061174,0.009696186166774402
TSs133,0.9656679151061174,0.01777634130575307
TSs155,0.9129213483146067,0.08273504273504273
TSs209,0.9085518102372035,0.20027481964960495
TSs136,0.9048064918851436,0.17488789237668162
TSs22,0.897003745318352,0.19485038274182323
TSs346,0.8976279650436954,0.08066759388038942
TSs349,0.8854556803995006,0.08283397955586888
TSs22A,0.9775280898876404,0.13665389527458494
TSs357,0.9210362047440699,0.15994578109115554
TSs161,0.9288389513108615,0.3020833333333333
TSs11,0.9534956304619226,0.2844517184942717
TSs5A,0.9803370786516854,0.19802610633556192
TSs131,0.9728464419475655,0.19120949631055503
TSs294,0.9023096129837703,0.2621930127983397
TSs378,0.9122971285892634,0.2569278138898392
TSs336,0.9063670411985019,0.18112947658402204
TSs111,0.9119850187265918,0.15571526351813827
TSs56,0.9057428214731585,0.1691936595451413
TSs84,0.8957553058676654,0.2181184668989547
TSs3A,0.9812734082397003,0.16666666666666666
TSs89,0.8960674157303371,0.1724137931034483
TSs95,0.9051186017478152,0.15068965517241378
TSs2,0.9566167290886392,0.11876019575856443
TSs44C,0.9797128589263421,0.18158649251353934
TSs201,0.982521847690387,0.30336721728081323
TSs217,0.9060549313358303,0.10368584223217361
TSs377,0.8966916354556804,0.016011138183083886
TSs168,0.900749063670412,0.07241857241857241
TSs98,0.9166666666666666,0.25944841675178754
TSs116,0.9026217228464419,0.030428769017980636
TSs53,0.9210362047440699,0.24500169434090138
TSs63A,0.9903245942571786,0.3138985187519697
TSs158,0.9169787765293383,0.23723621511232132
TSs269,0.9063670411985019,0.1487603305785124
TSs317,0.9422596754057428,0.20172242464392182
TSs49A,0.9744069912609239,0.13260730301089046
TSs417,0.9865792759051186,0.2853527364757988
TSs195,0.9082397003745318,0.16907216494845362
TSs371,0.9054307116104869,0.2047569803516029
TSs69,0.8863920099875156,0.04401408450704225
TSs23,0.9082397003745318,0.2793814432989691
TSs182,0.8948189762796505,0.09696546913149634
TSs51,0.9229088639200999,0.2732499154548529
TSs59B,0.9890761548064919,0.2221520984537709
TSs365,0.9316479400749064,0.008710217755443886
TSs224,0.9322721598002497,0.22932708403080013
TSs325,0.9712858926342073,0.3544344473007712
TSs119A,0.978776529338327,0.2576530612244898
TSs166,0.9715980024968789,0.026341150016061677
TSs297,0.9044943820224719,0.023464458247066944
TSs138,0.8957553058676654,0.014285714285714285
TSs338,0.9144818976279651,0.1931740614334471
TSs293,0.9232209737827716,0.1757944557133198
TSs24,0.9185393258426966,0.07883112470268433
TSs334,0.9263420724094882,0.31570080862533695
TSs1A,0.9850187265917603,0.17712294043092522
TSs266,0.9478776529338327,0.26177148501811
TSs277,0.9079275905118602,0.09109659676864902
TSs60B,0.9878277153558053,0.23096366508688784
TSs303,0.9737827715355806,0.1064102564102564
TSs120,0.9254057428214731,0.27217537942664416
TSs132,0.9257178526841449,0.2380310182063385
TSs78,0.9272784019975031,0.12420060585661394
TSs61,0.9397627965043696,0.2457655264031883
TSs60,0.9176029962546817,0.16224489795918368
TSs274,0.9360174781523096,0.19073024341447148
TSs10A,0.9697253433208489,0.1647891857096878
TSs96,0.9419475655430711,0.2660702451954937
TSs282,0.9453807740324595,0.011554968636513702
TSs56A,0.9840823970037453,0.25404376784015226
TSs296,0.9703495630461922,0.16243165004824703
TSs33,0.9597378277153558,0.27447154471544716
TSs311,0.9591136079900124,0.2046859746176375
TSs68,0.970661672908864,0.14855305466237942
TSs104,0.9737827715355806,0.30512820512820515
TSs58,0.9719101123595506,0.27071290944123316
TSs358,0.9307116104868914,0.006371562709590879
TSs82,0.9884519350811486,0.323965898326492
TSs15,0.9859550561797753,0.29154795821462487
TSs3,0.9797128589263421,0.2026122969098439
TSs4,0.9884519350811486,0.22134512156615094
TSs331,0.9744069912609239,0.1675208199871877
TSs314B,0.982521847690387,0.24555273189326557
TSs333,0.9890761548064919,0.30640580624802777
TSs7,0.968789013732834,0.25837628865979384
TSs38,0.9353932584269663,0.04671338004671338
TSs10,0.9725343320848939,0.12804878048780488
TSs48,0.962234706616729,0.11125527084009082
