maf,h2_qtl,ncp,power
0.05,0.05,0.95,0.0007041070928829329
0.1,0.05,1.8000000000000003,0.0023562662889913266
0.2,0.05,3.2000000000000006,0.008683541406092177
0.3,0.05,4.2,0.01707453688230076
0.4,0.05,4.8,0.024031727563086358
0.5,0.05,5.0,0.026702643985839103
0.05,0.1,2.0055555555555555,0.002965974370995661
0.1,0.1,3.8000000000000003,0.013265887136259202
0.2,0.1,6.755555555555556,0.05837617879930168
0.3,0.1,8.866666666666665,0.1170227381366834
0.4,0.1,10.133333333333333,0.16245759967747364
0.5,0.1,10.555555555555555,0.17910905803971588
0.05,0.15,3.185294117647059,0.008587079106370354
0.1,0.15,6.03529411764706,0.04353929864822059
0.2,0.15,10.729411764705885,0.18616454732595544
0.3,0.15,14.08235294117647,0.3390522615117718
0.4,0.15,16.094117647058823,0.4380363220564565
0.5,0.15,16.764705882352942,0.4708137008082759
0.05,0.2,4.5125,0.02050481624169853
0.1,0.2,8.55,0.1068125671443878
0.2,0.2,15.200000000000003,0.3939727483291058
0.3,0.2,19.95,0.6174708807925697
0.4,0.2,22.8,0.7281533012309904
0.5,0.2,23.75,0.7598126347045454
0.05,0.25,6.016666666666667,0.04319024145710093
0.1,0.25,11.400000000000002,0.21438197005681936
0.2,0.25,20.266666666666673,0.6308684300745231
0.3,0.25,26.6,0.8388693362843626
0.4,0.25,30.4,0.9108362139868985
0.5,0.25,31.666666666666668,0.9278023385246248
0.05,0.3,7.735714285714286,0.08281514797018685
0.1,0.3,14.657142857142858,0.36721734266176864
0.2,0.3,26.057142857142864,0.8256008053732978
0.3,0.3,34.2,0.9535582411181148
0.4,0.3,39.08571428571428,0.9814271774845922
0.5,0.3,40.714285714285715,0.9865538487482796
0.05,0.4,12.033333333333333,0.2423423716790586
0.1,0.4,22.800000000000004,0.7281533012309904
0.2,0.4,40.533333333333346,0.9860568508441528
0.3,0.4,53.2,0.9991144013673726
0.4,0.4,60.8,0.9998581456385718
0.5,0.4,63.333333333333336,0.9999248360262886
0.05,0.5,18.05,0.5322122083253199
0.1,0.5,34.2,0.9535582411181148
0.2,0.5,60.80000000000001,0.9998581456385718
0.3,0.5,79.8,0.9999990575442439
0.4,0.5,91.2,0.9999999632037871
0.5,0.5,95.0,0.9999999879114911
